ID,ITEM
42,Творог
42,Молоко
42,Сметана
42,Кефир
42,Кефир
42,Коктейль молочный
42,Молоко
42,Молоко
43,Салат листовый
44,Шницель из индейки
44,Бананы
45,Вода
45,Шоколад
46,Шоколад
46,Пельмени
46,Молоко
46,Хурма
47,Макароны
47,Мармелад
47,Мидии
47,Икра
47,Хлеб
47,Кукуруза
47,Курица
48,Чай
48,Йогурт
48,Йогурт
48,Йогурт
48,Йогурт
48,Йогурт
48,Йогурт
48,Печенье
48,Печенье
48,Какао
49,Водка
49,Пиво
49,Вино
50,Зелень
50,Сливки
50,Хлеб
50,Газировка
50,Майонез
50,Яйца
50,Вино
51,Вода
51,Сосиски
51,Хлеб
51,Жвачка
52,Шоколадные грибы
52,Булочка
53,Шоколадные грибы
53,Лимонад
54,Шоколадные грибы
54,Сухарики
54,Энергетик
54,Сэндвич
55,Шоколадные грибы
55,Сухарики
55,Холодный чай
55,Вода
56,Шоколадные грибы
56,Йогурт
57,Энергетик
57,Лимон
57,Блины
57,Жвачка
58,Водка
58,Конфеты
59,Гречка
59,Макароны
59,Рыба
59,Грибы
59,Морковь
59,Перец
59,Фарш
60,Кефир
60,Огурцы
60,Сливки
60,Молоко
61,Кефир
61,Творог
62,Хлеб
62,Творог
62,Горох
62,Авокадо
62,Курица
62,Апельсины
63,Кефир
63,Хлеб
63,Яйца
63,Огрурцы
64,Авокадо
64,Кефир
64,Индейка
64,Тыква
65,Хлеб
65,Масло сливочное
65,Ролл снежана
65,Ролл запеченный сурими
65,Ролл сяке маки
65,Кешью в кунжуте
65,Фундук в шоколаде
65,Газировка
66,Газировка
66,Соус сметанный
66,Сыр
66,Филе бедра куриное
66,Сыр
67,Сушки
67,Газировка
68,Хлеб
68,Шоколадные грибы
68,Пирожки
68,Молоко
69,Шоколадные грибы
69,Булочка
69,Газировка
70,Шоколадный батончик
70,Энергетик
71,Газировка
71,Пирожное
71,Чай
71,Сливки
72,Шоколад
72,Вода
73,Шоколад
73,Коктейль
73,Коктейль
73,Жвачка
73,Чупа-чупс
73,Чупа-чупс Двойной
74,Трубочки со сгущенкой
74,Укроп
74,Гренки
75,Булка
75,Киндер Макси
75,Пирожное Милка
75,Инжир
76,Вино
76,Чача
76,Сыр
77,Молоко
77,Пиво
77,Манго
78,Пакет
78,Помидоры
78,Огурцы
78,Шоколад
78,Кофе
78,Батончик
79,Кетчуп
79,Майонез
79,Молоко
79,Сыр
79,Йогурт
80,Лаваш
80,Молоко
80,Хлеб
80,Мясо
81,Лук
81,Помидоры
81,Огурцы
81,Свекла
81,Картофель
82,Колбаса
82,Молоко
82,Творог
82,Мясо
83,Макароны
83,Наггетсы
83,Хлеб
83,Вино
83,Кофе
83,Морковь
83,Перец
83,Лук
83,Сырки
84,Круассан
84,Манго
85,Печенье
